user: 5 feedback_type:1 emotions: confident,aggressive,

user: 5 feedback_type:-1 emotions: ambitious,aggressive,
(0.67262853395460409, 607L),0.1261,0.10731,0.09863
(0.66941981816433771, 10375L),0.11004,0.12219,0.08638
(0.6519098126258529, 35974L),0.11699,0.10204,0.10489
(0.65065624895337504, 62998L),0.11275,0.10053,0.09413
(0.63068985105420539, 38898L),0.1325,0.09403,0.1144
(0.62850980967514558, 51095L),0.13216,0.09148,0.10257
(0.61065991218836002, 61859L),0.12765,0.10361,0.10396
(0.59382984357271562, 8916L),0.12075,0.10677,0.09654
(0.59236421507239823, 3549L),0.14102,0.0926,0.10389
(0.59194556732361137, 17586L),0.12351,0.1043,0.10099

user: 5 feedback_type:-1 emotions: peaceful,lively,cheerful,
(0.14014489604808525, 10375L),0.11004,0.12219,0.08638
(0.10028912857548694, 62998L),0.11275,0.10053,0.09413
(0.087935963153282365, 27246L),0.098,0.11451,0.09283
(0.071337198310212652, 53825L),0.11553,0.10441,0.10005
(0.061450428561497246, 11349L),0.11898,0.10352,0.09693
(0.05333510997629521, 35974L),0.11699,0.10204,0.10489
(0.01063741858538237, 8704L),0.11562,0.11126,0.09865
(0.006920851363099674, 26809L),0.11713,0.11618,0.08578
(-0.0019044243813031367, 8916L),0.12075,0.10677,0.09654
(-0.018352699982213581, 41361L),0.11654,0.13187,0.09124

user: 5 feedback_type:-1 emotions: hungry,elegant,
(-0.78557483358037783, 61257L),0.08113,0.18343,0.06156
(-0.78709109288523393, 27194L),0.07911,0.18106,0.0614
(-0.791480859896732, 37052L),0.07261,0.18558,0.06452
(-0.79207869724743751, 54531L),0.08701,0.16221,0.06856
(-0.79317888735956943, 20696L),0.07683,0.18791,0.05929
(-0.79383578938622745, 49341L),0.08608,0.15246,0.07236
(-0.79403573110218473, 45324L),0.08561,0.17736,0.06384
(-0.79489392817866067, 61768L),0.07864,0.17782,0.06885
(-0.79527158100366313, 55652L),0.08924,0.1363,0.07738
(-0.79592623279658548, 57476L),0.08114,0.17636,0.06314

user: 5 feedback_type:1 emotions: hungry,elegant,
(1.0762758499881233, 2072L),0.08253,0.19549,0.06197
(1.0706848894080534, 15345L),0.08182,0.19206,0.05837
(1.0678392854231189, 61885L),0.08266,0.19713,0.06494
(1.0500061114304164, 37807L),0.09089,0.19919,0.06354
(1.0485798785525289, 42151L),0.09217,0.1968,0.06
(1.0467395012234844, 49074L),0.07956,0.19216,0.06292
(1.0427874852017018, 20696L),0.07683,0.18791,0.05929
(1.0416638917040089, 1459L),0.08954,0.19634,0.06208
(1.0415655209520858, 6665L),0.08323,0.194,0.06125
(1.039479048920952, 1943L),0.08696,0.19244,0.05999

